,Batter,Game,Hit,None,FC,Err,Out,Year,AB,CumHit,CumAB,BA
153,Brice Hilliard,10.0,1.0,0.0,0.0,1.0,1.0,2019.0,3.0,19.0,29.0,0.655
154,Brice Hilliard,11.0,1.0,1.0,0.0,0.0,2.0,2019.0,3.0,20.0,32.0,0.625
155,Brice Hilliard,12.0,0.0,1.0,0.0,0.0,2.0,2019.0,2.0,20.0,34.0,0.588
156,Brice Hilliard,13.0,2.0,0.0,0.0,0.0,1.0,2019.0,3.0,22.0,37.0,0.595
157,Brice Hilliard,14.0,2.0,0.0,0.0,0.0,2.0,2019.0,4.0,24.0,41.0,0.585
158,Brice Hilliard,15.0,3.0,0.0,0.0,0.0,0.0,2019.0,3.0,27.0,44.0,0.614
159,Brice Hilliard,16.0,4.0,0.0,0.0,0.0,0.0,2019.0,4.0,31.0,48.0,0.646
160,Jamie Fletcher,1.0,0.0,0.0,0.0,0.0,0.0,2019.0,0.0,0.0,0.0,
161,Jamie Fletcher,2.0,0.0,0.0,0.0,0.0,0.0,2019.0,0.0,0.0,0.0,
162,Jamie Fletcher,3.0,0.0,1.0,0.0,0.0,1.0,2019.0,1.0,0.0,1.0,0.0
163,Jamie Fletcher,4.0,2.0,1.0,0.0,0.0,0.0,2019.0,2.0,2.0,3.0,0.667
164,Jamie Fletcher,5.0,1.0,1.0,0.0,0.0,0.0,2019.0,1.0,3.0,4.0,0.75
165,Jamie Fletcher,6.0,1.0,0.0,0.0,1.0,1.0,2019.0,3.0,4.0,7.0,0.571
166,Jamie Fletcher,7.0,1.0,0.0,0.0,0.0,1.0,2019.0,2.0,5.0,9.0,0.556
167,Jamie Fletcher,8.0,2.0,0.0,0.0,0.0,1.0,2019.0,3.0,7.0,12.0,0.583
168,Jamie Fletcher,9.0,2.0,0.0,0.0,0.0,1.0,2019.0,3.0,9.0,15.0,0.6
169,Jamie Fletcher,10.0,1.0,0.0,1.0,1.0,0.0,2019.0,3.0,10.0,18.0,0.556
170,Jamie Fletcher,11.0,0.0,0.0,0.0,0.0,0.0,2019.0,0.0,10.0,18.0,0.556
171,Jamie Fletcher,12.0,0.0,0.0,0.0,1.0,2.0,2019.0,3.0,10.0,21.0,0.476
172,Jamie Fletcher,13.0,1.0,0.0,0.0,1.0,1.0,2019.0,3.0,11.0,24.0,0.458
173,Jamie Fletcher,14.0,1.0,2.0,0.0,0.0,0.0,2019.0,1.0,12.0,25.0,0.48
174,Jamie Fletcher,15.0,2.0,0.0,0.0,0.0,1.0,2019.0,3.0,14.0,28.0,0.5
175,Jamie Fletcher,16.0,2.0,0.0,0.0,1.0,0.0,2019.0,3.0,16.0,31.0,0.516
186,Ken McKell,17.0,2.0,1.0,0.0,0.0,0.0,2020.0,2.0,20.0,33.0,0.606
187,Ken McKell,18.0,0.0,1.0,0.0,0.0,2.0,2020.0,2.0,20.0,35.0,0.571
188,Ken McKell,19.0,1.0,1.0,0.0,0.0,2.0,2020.0,3.0,21.0,38.0,0.553
189,Ken McKell,20.0,2.0,1.0,0.0,0.0,2.0,2020.0,4.0,23.0,42.0,0.548
190,Ken McKell,21.0,0.0,1.0,0.0,0.0,2.0,2020.0,2.0,23.0,44.0,0.523
191,Peter Won,17.0,2.0,0.0,0.0,0.0,1.0,2020.0,3.0,22.0,39.0,0.564
192,Peter Won,18.0,1.0,1.0,0.0,0.0,0.0,2020.0,1.0,23.0,40.0,0.575
193,Peter Won,19.0,1.0,1.0,0.0,0.0,1.0,2020.0,2.0,24.0,42.0,0.571
194,Peter Won,20.0,5.0,0.0,0.0,0.0,0.0,2020.0,5.0,29.0,47.0,0.617
195,Peter Won,21.0,0.0,0.0,0.0,0.0,3.0,2020.0,3.0,29.0,50.0,0.58
196,Rod Carroll,17.0,0.0,0.0,2.0,0.0,1.0,2020.0,3.0,16.0,44.0,0.364
197,Rod Carroll,18.0,2.0,0.0,0.0,0.0,0.0,2020.0,2.0,18.0,46.0,0.391
198,Rod Carroll,19.0,1.0,1.0,0.0,0.0,1.0,2020.0,2.0,19.0,48.0,0.396
199,Rod Carroll,20.0,2.0,1.0,0.0,0.0,1.0,2020.0,3.0,21.0,51.0,0.412
200,Rod Carroll,21.0,0.0,0.0,0.0,0.0,0.0,2020.0,0.0,21.0,51.0,0.412
201,Andrew Bosman,17.0,1.0,0.0,1.0,0.0,1.0,2020.0,3.0,21.0,34.0,0.618
202,Andrew Bosman,18.0,0.0,0.0,2.0,0.0,1.0,2020.0,3.0,21.0,37.0,0.568
